"id";"naam";"straat";"huisnummer";"postcode";"district";"begindatum";"toestellen";"financiering";"opmerking";"x_coord";"y_coord";"point_lng";"point_lat"
"BO/14/01";"Terloplein";"Terlostraat";"";"2140";"BORGERHOUT";"1996-06-01T00:00:00";"";"Lokaal";"";"155276.10699999999";"212132.63";"4.4442795060000435";"51.219118198000047"
"BO/14/06";"Koxplein";"Koxplein";"over 11";"2140";"BORGERHOUT";"2009-06-18T00:00:00";"";"Lokaal";"";"154566.21799999999";"211277.70600000001";"4.4341080650000322";"51.211439952000035"
"BO/14/08";"Luisbekelaar";"Luisbekelaar";"";"2140";"BORGERHOUT";"2000-08-01T00:00:00";"";"Lokaal";"";"155332.288";"210671.728";"4.445061762000023";"51.205986470000028"
"BO/14/10";"Bloemstraat";"Bloemstraat";"over 65";"2140";"BORGERHOUT";"2001-06-01T00:00:00";"";"Lokaal";"";"154180.20000000001";"211450.42199999999";"4.4285860310000658";"51.212995381000042"
"BZ/04/02";"Kommershoek";"Antwerpsebaan";"over 270";"2040";"BEZALI";"2005-10-05T00:00:00";"";"Lokaal";"";"146721.87299999999";"226879.649";"4.3217147820000719";"51.351682919000041"
"BZ/04/05";"Fort Lillo";"Vestingstraat";"achter 7";"2040";"BEZALI";"2000-09-01T00:00:00";"";"Boven lokaal";"";"144422.06400000001";"221646.71900000001";"4.2887839560000316";"51.304632020000042"
"BZ/04/08";"Vossestaartstraat";"Vossestaartstraat";"";"2040";"BEZALI";"2000-11-01T00:00:00";"";"Lokaal";"";"146562.59";"225991.038";"4.3194367560000728";"51.343695245000049"
"DE/10/01";"Tweegezusterslaan";"Tweegezusterslaan";"tss 41 - 4";"2100";"DEURNE";"1997-01-01T00:00:00";"";"Lokaal";"";"157347.66200000001";"213027.14499999999";"4.4739474860000428";"51.227135461000046"
"DE/10/03";"Bisschoppenhof";"Suzanne Spanhovenstraat";"";"2100";"DEURNE";"1996-01-01T00:00:00";"";"Lokaal";"";"156420.70999999999";"213502.772";"4.4606865290000428";"51.231421771000043"
"DE/10/05";"Boekenbergpark";"Van Baurscheitlaan";"";"2100";"DEURNE";"2010-11-01T00:00:00";"";"Boven lokaal";"";"156550.97399999999";"209787.976";"4.4624834050000572";"51.198030171000028"
"DE/10/09";"Bisthovenplein";"De Bisthovenlei";"over 110";"2100";"DEURNE";"2000-04-01T00:00:00";"";"Lokaal";"";"156118.36300000001";"213029.76500000001";"4.4563498680000748";"51.227173546000074"
"DE/10/12";"Den Tip";"Van den Hautelei";"79";"2100";"DEURNE";"2004-10-06T00:00:00";"";"Lokaal";"";"156948.992";"210476.79300000001";"4.468190924000055";"51.204216859000041"
