"data_type";"title";"description";"street";"postal";"district";"long";"lat"
"glascontainer";"088";;"huisblokstraat null";"2610";;"4.3852575500000626";"51.176390842000046"
"glascontainer";"032";;"gebroeders de wachterstraat null";"2610";;"4.3806672660000459";"51.176705288000051"
"glascontainer";"149";;"gebroeders de wachterstraat null";"2610";;"4.380725324000025";"51.176707717000056"
"glascontainer";"080";;"pastoor bauwenslaan 67";"2610";;"4.3782719600000632";"51.179058166000061"
"glascontainer";"192";;"pastoor bauwenslaan 67";"2610";;"4.3783106660000612";"51.179036267000072"
"glascontainer";"441";;"ridderveld 11";"2610";;"4.3747218030000568";"51.177158322000082"
"glascontainer";"325";;"schoonselhoflei null";"2660";;"4.3676588150000271";"51.176158469000029"
"glascontainer";"235";;"alfred nobellaan 16";"2660";;"4.3608060830000568";"51.177176216000078"
"glascontainer";"014";;"paul vekemanslaan null";"2660";;"4.3632608890000597";"51.176051250000057"
"glascontainer";"104";;"paul vekemanslaan null";"2660";;"4.3632439780000709";"51.176001147000079"
"glascontainer";"348";;"salesianenlaan null";"2660";;"4.3673412150000672";"51.173118539000029"
"glascontainer";"021";;"oudestraat 130";"2660";;"4.3543853450000256";"51.17351431700007"
"glascontainer";"109";;"oudestraat 130";"2660";;"4.3544592100000727";"51.173521471000072"
"glascontainer";"xxx";;"herentalsebaan 141";"2100";;"4.4585007480000627";"51.209608101000072"
"glascontainer";"260";;"herentalsebaan 141";"2100";;"4.4586335120000626";"51.209628842000029"
"glascontainer";"269";;"van amstelstraat 44";"2660";;"4.3516238210000324";"51.17314248100007"
"glascontainer";"190";;"moretusstraat null";"2660";;"4.3495166230000564";"51.170666719000053"
"glascontainer";"026";;"moretusstraat null";"2660";;"4.3495166400000471";"51.170623853000052"
"glascontainer";"215";;"nachtegaallaan 6";"2660";;"4.35731210900002";"51.172035762000064"
"glascontainer";"243";;"oudstrijderslaan 49";"2660";;"4.3602671240000745";"51.170299936000049"
"glascontainer";"652";;"karel meyvisstraat 8";"2660";;"4.362105083000074";"51.172843852000028"
"glascontainer";"430";;"verengde natieslaan 59";"2660";;"4.353503981000074";"51.164060183000061"
"glascontainer";"227";;"klaverbladdreef null";"2660";;"4.3554595730000756";"51.161609243000044"
"glascontainer";"011";;"sint-bernardsesteenweg 1400";"2660";;"4.3501591480000457";"51.159743108000043"
"glascontainer";"111";;"sint-bernardsesteenweg 1400";"2660";;"4.3502511120000236";"51.159800963000066"
"glascontainer";"241";;"lageweg 152";"2660";;"4.3595093530000213";"51.184058533000041"
"glascontainer";"610";;"michel willemslaan 80";"2610";;"4.3752740580000591";"51.180714721000072"
"glascontainer";"036";;"letterkundestraat 29";"2610";;"4.3822544600000697";"51.180796622000059"
"glascontainer";"145";;"letterkundestraat 29";"2610";;"4.382309193000026";"51.180803492000052"
"glascontainer";"458";;"karel mestdaghplein null";"2610";;"4.3857205720000252";"51.179864997000038"
"glascontainer";"266";;"overwinningstraat null";"2610";;"4.3916658940000275";"51.17495552500003"
"glascontainer";"xxx";;"mastplein null";"2610";;"4.3928658740000515";"51.17159891700004"
"glascontainer";"xxx";;"mastplein null";"2610";;"4.3928749350000658";"51.171565577000081"
"glascontainer";"001";;"bist 151";"2610";;"4.3947320390000755";"51.170489276000069"
"glascontainer";"124";;"bist 151";"2610";;"4.3947497640000392";"51.170455816000072"
"glascontainer";"234";;"valkenveld null";"2610";;"4.3872030480000603";"51.168918744000052"
"glascontainer";"444";;"valkstraat 86";"2610";;"4.3842372100000375";"51.169415335000053"
"glascontainer";"333";;"berkenveldplein 29";"2610";;"4.3827603620000559";"51.167971718000047"
"glascontainer";"435";;"krijgslaan 27";"2610";;"4.3988940890000663";"51.163338704000068"
"glascontainer";"211";;"krijgslaan 245";"2610";;"4.3890419660000362";"51.162805949000074"
"glascontainer";"489";;"boeksveldplein 8";"2610";;"4.3902194950000535";"51.163823345000026"
"glascontainer";"xxx";;"kernenergiestraat 43";"2610";;"4.3874436650000348";"51.160714357000074"
"glascontainer";"xxx";;"kernenergiestraat 43";"2610";;"4.3874856950000662";"51.160720013000059"
"glascontainer";"xxx";;"kernenergiestraat 43";"2610";;"4.3875277390000633";"51.16072755600004"
"glascontainer";"xxx";;"kernenergiestraat 43";"2610";;"4.3875727850000317";"51.160735099000078"
"glascontainer";"375";;"edenplein 4";"2610";;"4.3898810860000594";"51.153190321000068"
"glascontainer";"447";;"schuurveldlaan 62";"2610";;"4.3937266650000311";"51.153163093000046"
"glascontainer";"251";;"moerenlei 153";"2610";;"4.363349597000024";"51.159300808000069"
"glascontainer";"334";;"terbekehofdreef 1";"2610";;"4.3806232770000406";"51.153245809000055"
"glascontainer";"412";;"klaproosstraat null";"2610";;"4.4088924740000266";"51.17072581900004"
"glascontainer";"428";;"dokter donnyplein 30";"2610";;"4.4056218090000243";"51.168079947000081"
"glascontainer";"408";;"steytelincklei null";"2610";;"4.3991431640000656";"51.169958281000049"
"glascontainer";"471";;"goudenregenlaan 2";"2610";;"4.4001454810000382";"51.175116393000053"
"glascontainer";"364";;"cederlaan 68";"2610";;"4.4020179130000656";"51.174673506000033"
"glascontainer";"459";;"groenengorgerlaan 129";"2610";;"4.4091685520000397";"51.17487096900004"
"glascontainer";"416";;"jos op de beecklaan 19";"2610";;"4.3954963730000713";"51.163580786000068"
"glascontainer";"456";;"jos op de beecklaan 44";"2610";;"4.3919399600000588";"51.17622424800004"
"glascontainer";"446";;"heistraat 321";"2610";;"4.391374158000076";"51.179556257000058"
"glascontainer";"268";;"kruishofstraat 227";"2610";;"4.3939530320000699";"51.183387025000059"
"glascontainer";"267";;"eglantierlaan 1";"2610";;"4.4037748110000621";"51.186266819000082"
"glascontainer";"340";;"groenengorgerlaan 173";"2610";;"4.4154832910000437";"51.178892531000031"
"glascontainer";"415";;"oudestraat 27";"2610";;"4.3927980270000262";"51.167826544000036"
"glascontainer";"022";;"rucaplein null";"2610";;"4.4222993230000611";"51.177963645000034"
"glascontainer";"108";;"rucaplein null";"2610";;"4.422428210000021";"51.177963585000043"
"glascontainer";"432";;"ringlaan 82";"2610";;"4.4275623960000416";"51.177970091000077"
"glascontainer";"464";;"vierbunderplein 3";"2610";;"4.4324583310000207";"51.176581213000077"
"glascontainer";"245";;"gemzenstraat null";"2610";;"4.4217012780000573";"51.174763771000073"
"glascontainer";"378";;"beeckmanslaan null";"2610";;"4.4214596640000536";"51.170163937000041"
"glascontainer";"384";;"parklaan 44";"2610";;"4.4274323620000473";"51.171511338000073"
