title;address;gisx;gisy
Sint-Bernadette;Antoon Van Den Bosschelaan 145, 2100 Deurne;4.4783509;51.2306581
Sint-Rumoldus;Paulus Beyestraat 153, 2100 Deurne;4.4724977;51.2239020
Mariagaarde;Griffier Schobbenslaan 45, 2140 Borgerhout;4.4563949;51.2144629
Ervaringsgerichte basisschool De Linde;Van Steenlandstraat 15, 2100 Deurne;4.4556498;51.2087410
Het Plantijntje;Plantin en Moretuslei 163, 2140 Borgerhout;4.4297716;51.2096695
De Kleine Wereldburger;Generaal de Wetstraat 16, 2140 Borgerhout;4.4393116;51.2160816
De Vlinderboom (Cocon);Arthur Matthyslaan 82, 2140 Borgerhout;4.4519502;51.2043743
De Esdoorn;Vincottestraat 44, 2140 Borgerhout;4.4379785;51.2169606
de! Kunsthumaniora;Karel Oomsstraat 24, 2018 Antwerpen;4.4098697;51.1968792
de! Kunsthumaniora;Kerkelei 43, 2610 Wilrijk;4.3997048;51.1685459
Don Bosco Technisch Instituut;Salesianenlaan 1, 2660 Hoboken;4.3710995;51.1733701
Lyceum Linkeroever;Gloriantlaan 60, 2050 Antwerpen;4.3860287;51.2249436
Groenendaalcollege;Gagelveldenstraat 71, 2170 Merksem;4.4361323;51.2432873
Stedelijk Lyceum Deurne - Rochus;Sint-Rochusstraat 22, 2100 Deurne;4.4651535;51.2067852
Steinerschool Antwerpen Middelbaar;Volkstraat 40, 2000 Antwerpen;4.3957484;51.2109267
H. Pius X-instituut Bovenbouw;VIIde-Olympiadelaan 25, 2020 Antwerpen;4.3878310;51.1836159
H. Pius X-instituut Bovenbouw;Abdijstraat 128, 2020 Antwerpen;4.3836005;51.1879986
H. Pius X-instituut - Middenschool;VIIde-Olympiadelaan 25, 2020 Antwerpen;4.3878310;51.1836159
Instituut Dames van het Christelijk Onderwijs;Lange Nieuwstraat 94, 2000 Antwerpen;4.4117370;51.2194412
De Horizon;Betogingstraat 9, 2140 Borgerhout;4.4342069;51.2112664
Floraschool;Florastraat 120, 2140 Borgerhout;4.4419279;51.2189260
De Vlinderboom (Vlinder);Te Boelaarpark 5, 2140 Borgerhout;4.4522600;51.2010600
Mikado;Borgerhoutsestraat 74, 2140 Borgerhout;4.4289475;51.2130155
"Moza&#239;ek";Blijde-Inkomststraat 24, 2140 Borgerhout;4.4378771;51.2130752
Instituut Sint-Maria;Lovelingstraat 8, 2060 Antwerpen;4.4318194;51.2208908
Instituut Sint-Maria;Theodoor Van Rijswijckplaats 4, 2000 Antwerpen;4.4000751;51.2166244
De Zevensprong;Helmstraat 44, 2140 Borgerhout;4.4318050;51.2167777
Instituut Maris Stella Sint-Agnes;Turnhoutsebaan 226, 2140 Borgerhout;4.4317552;51.2158437
Sint-Franciscusinstituut;Berchemlei 93, 2140 Borgerhout;4.4481836;51.2050732
Instituut Maris Stella Sint-Agnes;Turnhoutsebaan 79, 2140 Borgerhout;4.4317552;51.2158437
Xaveriuscollege;Collegelaan 36, 2140 Borgerhout;4.4508898;51.2132551
Israelitische Middenschool Jesode-Hatora-Beth-Jacob;Lange Van Ruusbroecstraat 12, 2018 Antwerpen;4.4257671;51.2076480
Het Laerhof;Laarsebaan 100, 2170 Merksem;4.4352736;51.2490562
Israelitisch Atheneum Jesode-Hatora-Beth-Jacob;Steenbokstraat 14, 2018 Antwerpen;4.4269449;51.2073602
Israelitisch Atheneum Jesode-Hatora-Beth-Jacob;Van Diepenbeeckstraat 18, 2018 Antwerpen;4.4245299;51.2062220
Melgesdreef;Ringlaan 55, 2170 Merksem;4.4552740;51.2544584
JOMA;Maantjessteenweg 130, 2170 Merksem;4.4400365;51.2549207
Koninklijke Balletschool Antwerpen;Maria Pijpelincxstraat 1, 2000 Antwerpen;4.4091922;51.2164196
