"title";"description";"address";"gisx";"gisy";"image";"link"
"Cr&#232;chendo (IKG)";"";"Ten Eekhovelei 289-291, 2100 Deurne";"4.4468677";"51.2284234";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/foto_kdv_crechendo.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8056838"
"OKiDO Het Lieverdje Deurne (IKG)";"";"Sint-Rochusstraat 81, 2100 Deurne";"4.4642090";"51.2048772";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8040661"
"OKiDO Het Lieverdje Borgerhout (IKG)";"";"Prins Leopoldstraat 51, 2140 Borgerhout";"4.4387907";"51.2124300";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8040663"
"OKiDO Stekelbees Merksem";"";"Sint-Bartholomeusstraat 91, 2170 Merksem";"4.4448072";"51.2425803";"http://www.antwerpen.be/pics/Stad/Bedrijven/Lerende_stad/LS_Staf/kinderopvang/DSC_4181.jpg";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8040665"
"OKiDO KOKAV";"";"Nationalestraat 111, 2000 Antwerpen";"4.3981082";"51.2139543";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8040632"
"OKiDO Stekelbees Kiel";"";"Boomsesteenweg 293, 2020 Antwerpen";"4.3878584";"51.1874049";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8040642"
"OKiDO-mobiel Stekelbees";"";"Duinstraat 102, 2060 Antwerpen";"4.4308745";"51.2225092";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8040650"
"InNi-Mini-Creche";"";"Wijnegemstraat 23A, 2140 Borgerhout";"4.4422041";"51.2196816";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8234000"
"Kiddy-Boel";"";"Prins Boudewijnlaan 1371, 2610 Wilrijk";"4.4248978";"51.1772228";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8239918"
"De Wijsneusjes";"";"Steenstraat 103, 2180 Ekeren";"4.4174884";"51.2738554";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8182785"
"Moustache";"";"Morpheusstraat 30, 2600 Berchem";"4.4430524";"51.1988192";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8209866"
"De kleine kabouters";"";"Frans Versmissenlaan 21, 2100 Deurne";"4.4772956";"51.2269630";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8229423"
"Luna\'s Loft (IKG)";"";"Klokstraat 12A, 2600 Berchem";"4.4308545";"51.2014971";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8137029"
"Baby Beach";"";"Lange Pastoorstraat 12A, 2600 Berchem";"4.4191361";"51.1936549";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8141134"
"Boelieboe";"";"Oosterveldlaan 29, 2020 Antwerpen";"4.4153645";"51.1756622";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8182436"
"Kids-dream (IKG)";"";"Van Leriusstraat 28, 2018 Antwerpen";"4.4196267";"51.2121968";"";"http://www.antwerpen.be/smartsite.dws?ch=ABE&id=8118455"
