"objectid_1";"dossier_nummer";"naam";"straatnaam";"locatie";"postcode";"district";"status";"reguliere_ophaling";"budgetjaar";"realisatie";"point_lng";"point_lat"
"132";"2011162";"De_Bosschaertstraat_Pierenbergstraat";"Pierenbergstraat";"63";"2020";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.3799023020000618";"51.187557955000045"
"133";"2011166";"LUCHTBAL";"Canadalaan";"naast nr 213";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2020";"2020";"4.4212114560000373";"51.25537225100004"
"134";"2011167";"Canadalaan_233_235";"Canadalaan";"naast nr 233-235";"2030";"Antwerpen";"6.  Uitgesteld";"nee";"2020";"2020";"4.4213585530000614";"51.256646076000038"
"135";"2011168";"Kattendijkdok_Westkaai_16";"Kattendijkdok Westkaai";"over nr 16";"2000";"Antwerpen";"4.  In Onderzoek";"ja";"2020";"2020";"4.4053177830000436";"51.232626527000036"
"136";"2011171";"VISÃSTRAAT - STUIVENBERGPLEIN";"VisÃ©straat";"naast Stuivenbergplein 38";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4320963280000569";"51.227159844000028"
"137";"2011180";"Gloriantlaan_46";"Gloriantlaan";"46";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2020";"2020";"4.3858005410000374";"51.228534524000054"
"138";"2011182";"Victor_Delhezstraat";"Victor Delhezstraat";"naast nr 6";"2050";"Antwerpen";"5.  Gevraagd";"nee";"2020";"2020";"4.3733920530000319";"51.218747586000063"
"139";"2011188";"Adriaan_Brouwerstraat";"Adriaan Brouwerstraat";"19";"2000";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4036289990000341";"51.227179942000078"
"140";"2011190";"Carnotstraat";"Carnotstraat";"65";"2060";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4249834950000491";"51.218410948000042"
"141";"2011191";"Kattendijkdok_Westkaai_midden";"Kattendijdok-Westkaai";"midden tussen Montevideostraat en Limastraat";"2000";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4049038150000683";"51.233738234000043"
"142";"2011195";"Kempenstraat_midden";"Kempenstraat";"midden tussen Spitsenstraat en Binnenvaartstraat";"2030";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.4156998170000747";"51.231746114000032"
"143";"2011196";"Sint_Aldegondiskaai";"Sint-Aldegondiskaai";"30";"2000";"Antwerpen";"5.  Gevraagd";"ja";"2020";"2020";"4.403542567000045";"51.227844781000044"
"144";"2011132";"Ringlaan";"Ringlaan";"hoek Bourcetstraat";"2600";"Berchem";"5.  Gevraagd";"Ja";"2014";"2014";"4.4313729300000659";"51.179204372000072"
"145";"2011133";"FRUITHOFLAAN - SINT-THERESIASTRAAT";"Fruithoflaan";"11";"2600";"Berchem";"4.  In Onderzoek";"Ja";"2014";"2014";"4.4345598060000384";"51.180518848000077"
"146";"2011135";"FRUITHOFLAAN - 98";"Fruithoflaan";"98";"2600";"Berchem";"4.  In Onderzoek";"Ja";"2014";"2014";"4.4388160690000404";"51.183543710000038"
"147";"2011137";"FRUITHOFLAAN - 118-122";"Fruithoflaan";"tussen nr 118 en 122";"2600";"Berchem";"4.  In Onderzoek";"Ja";"2014";"2014";"4.4422695460000341";"51.185693169000047"
"148";"2011189";"Jos_Ratinckxstraat";"Jos Ratinckxstraat";"1";"2600";"Berchem";"5.  Gevraagd";"ja";"2020";"2020";"4.4417693100000406";"51.183994407000057"
"149";"2011198";"Grote_Steenweg-Uitbreidingsstraat";"Grote Steenweg";"hoek Uitbreidingstraat";"2600";"Berchem";"5.  Gevraagd";"Ja";"2020";"2020";"4.4216138950000641";"51.19326307800003"
"150";"2011199";"Frans_De_Vriendtstraat";"Frans De Vriendtstraat";"48";"2600";"Berchem";"5.  Gevraagd";"ja";"2020";"2020";"4.4442092800000523";"51.204531144000043"
"151";"2011242";"STUDENTENBUURT";"Stadswaag";"tegenover 4";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"2050";"2050";"4.407176163000031";"51.224056008000048"
"152";"2011244";"STUDENTENBUURT";"Grote Kauwenberg";"2";"2000";"Antwerpen";"6.  Uitgesteld";"ja";"2050";"2050";"4.4114783050000597";"51.223436998000068"
"153";"2011245";"Driesnellenstraat";"Driesnellenstraat";"9";"2060";"Antwerpen";"6.  Uitgesteld";"ja";"2050";"2050";"4.4240807460000724";"51.234169618000067"
"154";"2011246";"Onderwijsstraat";"Onderwijsstraat";"rechtover 77";"2060";"Antwerpen";"4.  In Onderzoek";"ja";"2050";"2050";"4.4364642150000577";"51.226256019000061"
"155";"2011086";"Kwekerijstraat";"Kwekerijstraat";"plein naast nr 112";"2140";"Borgerhout";"3.  In Wacht";"Ja";"2013";"2013";"4.4439231610000434";"51.21970023800003"
"156";"2011229";"Moorkensplein";"Moorkensplein";"Mareestraat 19";"2140";"Borgerhout";"4.  In Onderzoek";"Ja";"2016";"2016";"4.4340431880000324";"51.213226648000045"
"157";"2011087";"Laar";"Laar";"plein";"2140";"Borgerhout";"6.  Uitgesteld";"ja";"2013";"2013";"4.4331281040000476";"51.216053892000048"
"158";"2011201";"Vercammenstraat";"Vercammenstraat";"1B";"2140";"Borgerhout";"5.  Gevraagd";"Ja";"2020";"2020";"4.4385726780000709";"51.218575961000056"
"159";"2011092";"KRONENBURG";"Van Amstelstraat";"pleintje met Albert Bevernagelei";"2100";"Deurne";"6.  Uitgesteld";"Ja";"2013";"2013";"4.4484393470000327";"51.232592995000061"
"160";"2011207";"EKSTERLAER";"Constant Jorislaan";"33";"2100";"Deurne";"4.  In Onderzoek";"nee";"0";"2013";"4.4692846880000729";"51.20044641100003"
"161";"2011211";"EKSTERLAER";"Kerkhofweg";"40D";"2100";"Deurne";"4.  In Onderzoek";"nee";"0";"2013";"4.473331321000046";"51.203993187000037"
"162";"2011076";"Dordrechtlaan";"Dordrechtlaan";"58W-58Z";"2100";"Deurne";"5.  Gevraagd";"Ja";"2012";"2012";"4.4593494610000448";"51.205628955000066"
"163";"2011146";"GabriÃ«l Vervoortstraat_91";"GabriÃ«l Vervoortstraat";"over nr 91";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.4623733510000534";"51.206594464000034"
"164";"2011147";"Wouter Haecklaan_12";"Wouter Haecklaan";"over nr 12";"2100";"Deurne";"5.  Gevraagd";"Ja";"2014";"2014";"4.462160610000069";"51.211245603000066"
"165";"2011149";"Drakenhoflaan";"Drakenhoflaan";"160";"2100";"Deurne";"6.  Uitgesteld";"ja";"2014";"2014";"4.4622538450000206";"51.194458780000048"
"166";"2011212";"EKSTERLAER";"Klein-Eksterlaer";"achter Van Den Hautelei 196-198";"2100";"Deurne";"4.  In Onderzoek";"nee";"2020";"2020";"4.4659808820000535";"51.200585416000081"
"167";"2011247";"VALAAR";"Jules Draeyersstraat";"rechtover 1";"2610";"Wilrijk";"6.  Uitgesteld";"ja";"2012";"2012";"4.3795382290000475";"51.176881250000065"
"168";"2011213";"Herentalsebaan";"Herentalsebaan";"achter nr 146";"2100";"Deurne";"5.  Gevraagd";"ja";"2020";"2020";"4.4597919990000605";"51.209002535000081"
"169";"2011233";"Schoonbroek";"Tractaatstraat";"11";"2180";"Ekeren";"6.  Uitgesteld";"ja";"2050";"2050";"4.4111826010000641";"51.279813998000066"
"170";"2011234";"Statiestraat";"Statiestraat";"16-17";"2180";"Ekeren";"6.  Uitgesteld";"ja";"2050";"2050";"4.4350983440000391";"51.285541155000033"
"171";"2011151";"Scanfil_81";"Berkenrodelei";"100 m achter nr 81";"2660";"Hoboken";"4.  In Onderzoek";"nee";"2014";"2014";"4.3473621730000218";"51.180306772000051"
"172";"2011152";"Scanfil_61";"Berkenrodelei";"100 m achter nr 61";"2660";"Hoboken";"4.  In Onderzoek";"nee";"2014";"2014";"4.3476980610000737";"51.179552808000039"
"173";"2011094";"Adolf Greinerstraat";"Adolf Greinerstraat";"hoek Kapelstraat/Baron Sadoinestraat";"2660";"Hoboken";"6.  Uitgesteld";"ja";"2013";"2013";"4.335221428000068";"51.171937725000078"
"174";"2011215";"Sint-Bartholomeusstraat";"Sint-Bartholomeusstraat";"tussen Oostkaai en Westkaai";"2170";"Merksem";"6.  Uitgesteld";"Ja";"2020";"2020";"4.4476206950000687";"51.243150343000082"
"175";"2011097";"NEERLAND";"Krijgslaan -> Galleitlaan";"over nr 220";"2610";"Wilrijk";"4.  In Onderzoek";"nee";"2013";"2013";"4.3910837860000242";"51.162369402000081"
"176";"2011098";"NEERLAND";"Krijgslaan";"over nr 170";"2610";"Wilrijk";"4.  In Onderzoek";"nee";"2013";"0";"4.3897463970000672";"51.16249257100003"
"177";"2011154";"Sporthalplein";"Sporthalplein";"naast nr 3";"2610";"Wilrijk";"5.  Gevraagd";"Ja";"2014";"2014";"4.3918179140000575";"51.171419821000029"
"178";"2011248";"VALAAR";"Pastoor Bauwenslaan";"rechtover 2";"2610";"Wilrijk";"6.  Uitgesteld";"ja";"2012";"2012";"4.3815682900000752";"51.177492037000036"
"179";"2011249";"VALAAR";"Rooiboslaan";"200";"2610";"Wilrijk";"6.  Uitgesteld";"ja";"2012";"2012";"4.3821959120000429";"51.176972909000028"
"180";"2011250";"VALAAR";"Primulalei";"rechtover 14";"2610";"Wilrijk";"6.  Uitgesteld";"ja";"2012";"2012";"4.3812496500000293";"51.176381637000077"
