"id";"thema";"type";"subtype";"naam";"straatnaam";"postcode";"district";"publiek_detail";"bereik";"grond_opp";"opp_ha";"lgst_niv";"hgst_niv";"x_coord";"y_coord";"ligging";"bezoekersaantal";"algemeen_uitzicht";"netheid";"hoogte_afsluiting";"materiaal_afsluiting";"aantal_vuilnisbakken";"aantal_zitbanken";"verlichting";"andere_objecten";"type_ondergrond";"quotering_algemeen";"point_lng";"point_lat"
"OPR0440";"groene open ruimte";"gebruiksgroen";"hondenweide";"VILLEGASPARK";"UITBREIDINGSTRAAT";"2600";"BERCHEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"800";"0.080000000000000002";"buurt";"stadsdeel";"153976.32000000001";"209437.98800000001";"zeer geschikt";"hoog";"goed";"goed";"1m00";"staalmat";"1";"2";"onrechtstreeks";"";"gras";"OK";"4.4262524130000429";"51.195020948000035"
"OPR0441";"groene open ruimte";"gebruiksgroen";"hondenweide";"ZANDVLIETSE DORPSTRAAT";"ZANDVLIETSE DORPSTRAAT";"2040";"ZANDVLIET";"formeel groen, ingericht of bedoeld voor recreatie";"";"613.28061200000002";"0.061328059999999997";"buurt";"stadsdeel";"145422.63109998999";"227332.10019999999";"minder geschikt";"hoog";"goed";"aanvaardbaar";"1m05";"staalmat";"1";"0";"geen";"<Null>";"gras";"AFGELEGEN";"4.3030604080000217";"51.355740841000056"
"OPR0446";"groene open ruimte";"gebruiksgroen";"hondenweide";"HAGELBERG";"HAGELBERG";"2040";"BERENDRECHT";"formeel groen, ingericht of bedoeld voor recreatie";"";"593.01666";"0.059301659999999999";"buurt";"stadsdeel";"147126.61050000001";"226144.0276";"zeer geschikt";"hoog";"goed";"goed";"1m05";"staalmat";"1";"0";"geen";"";"gras";"OK";"4.3275298900000507";"51.345073312000068"
"OPR0448";"groene open ruimte";"gebruiksgroen";"hondenweide";"DORDRECHTLAAN";"DORDRECHTLAAN";"2100";"DEURNE";"formeel groen, ingericht of bedoeld voor recreatie";"";"1606.701094";"0.16067010000000001";"buurt";"stadsdeel";"156283.49599999";"210581.19099999999";"zeer geschikt";"hoog";"aanvaardbaar";"goed";"0m95";"maasdraad met bovenbuis";"2";"1";"geen";"";"gras";"AANPASSEN";"4.4595785730000443";"51.204575773000045"
"OPR0449";"groene open ruimte";"gebruiksgroen";"hondenweide";"HOF TER LO";"HOF TER LO";"2140";"BORGERHOUT";"formeel groen, ingericht of bedoeld voor recreatie";"";"1140.5";"0.11405";"buurt";"stadsdeel";"155532.32599998999";"212113.82499999";"geschikt";"hoog";"goed";"goed";"0m85";"maasdraad met bovenbuis";"1";"1";"geen";"";"gras";"AANPASSEN";"4.4484289300000341";"51.22064247000003"
"OPR0450";"groene open ruimte";"gebruiksgroen";"hondenweide";"LANGE BREMSTRAAT";"LANGE BREMSTRAAT";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"553.36224700000002";"0.055336219999999998";"buurt";"stadsdeel";"155830.17199999001";"216458.12899999999";"ongeschikt";"hoog";"goed";"aanvaardbaar";"1m05";"staalmat";"1";"0";"geen";"";"gras";"AFGELEGEN";"4.456943347000049";"51.256988723000063"
"OPR0451";"groene open ruimte";"gebruiksgroen";"hondenweide";"WIJGAARDBERG";"WIJGAARDBERG";"2170";"MERKSEM";"formeel groen, ingericht of bedoeld voor recreatie";"";"382.57254399999999";"0.03825725";"buurt";"stadsdeel";"154534.17300000001";"215071.01500000001";"zeer geschikt";"hoog";"goed";"goed";"0m95";"staalmat";"1";"0";"geen";"";"gras";"UITBREIDEN GEWENST";"4.4335186470000281";"51.245373103000077"
"OPR0453";"groene open ruimte";"gebruiksgroen";"hondenweide";"DRUIVENSTRAAT";"DRUIVENSTRAAT";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"1054";"0.10539999999999999";"buurt";"stadsdeel";"152360.84";"206885.97560000001";"zeer geschikt";"hoog";"goed";"goed";"0m92";"staalmat";"1";"3";"rechtstreeks";"";"gras";"OK";"4.4025513200000432";"51.171941967000066"
"OPR0454";"groene open ruimte";"gebruiksgroen";"hondenweide";"GEMZENSTRAAT";"GEMZENSTRAAT";"2610";"WILRIJK";"formeel groen, ingericht of bedoeld voor recreatie";"";"164.40182999999999";"0.016440179999999999";"buurt";"stadsdeel";"153673.53400000001";"207202.80499999999";"ongeschikt";"gemiddeld";"slecht";"aanvaardbaar";"0m90";"staalmat";"1";"1";"rechtstreeks";"";"zand";"TE KLEIN";"4.4212996900000689";"51.174643346000039"
"OPR0457";"groene open ruimte";"gebruiksgroen";"hondenweide";"VIIDE-OLYMPIADELAAN";"VIIDE-OLYMPIADELAAN";"2020";"ANTWERPEN";"formeel groen, ingericht of bedoeld voor recreatie";"";"529.16992600000003";"0.052916989999999997";"buurt";"stadsdeel";"150949.10499999";"208152.89199999999";"geschikt";"hoog";"onaanvaardbaar";"slecht";"0m95";"staalmat";"2";"0";"geen";"<Null>";"gras/zand";"TE KLEIN";"4.3816904550000686";"51.183228296000038"
