"straatnaam";"huisnummer";"postcode";"type_papiermand";"opmerking";"datum_uitvoering";"uniek_nummer_papiermand";"opdracht_aan";"dc_cc";"hokje";"fase";"historiek_type";"sector";"ledigen";"point_lng";"point_lat"
"BURGEMEESTER E. RYCKAERTSPLEIN";"plein";"2600";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4338514430000373";"51.201290092000079"
"BURGEMEESTER E. RYCKAERTSPLEIN";"";"2600";"01";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4340119460000551";"51.201413000000059"
"BURGEMEESTER E. RYCKAERTSPLEIN";"plein";"2600";"05";" ";"2012-03-30T00:00:00";"9538";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4342081120000216";"51.201381628000036"
"BURGEMEESTER E. RYCKAERTSPLEIN";"plein";"2600";"05";" ";"2009-11-18T00:00:00";"1233";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4340909730000249";"51.201138313000058"
"BURGEMEESTER E. RYCKAERTSPLEIN";"plein";"2600";"05";" ";"2009-11-18T00:00:00";"1247";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4337660640000536";"51.200872203000074"
"BURGEMEESTER E. RYCKAERTSPLEIN";"plein";"2600";"05";" ";"2009-11-18T00:00:00";"1213";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4336183660000756";"51.200666684000055"
"STATIESTRAAT";"42";"2600";"C";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.424803182000062";"51.197770626000079"
"TURNHOUTSEBAAN";"312";"2140";"05";"vroeger 2002";"2010-08-31T00:00:00";"9606";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4411275990000263";"51.213866707000079"
"TURNHOUTSEBAAN";"315";"2140";"05";"vroeger 2003";"2012-04-03T00:00:00";"9533";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4410492490000593";"51.213932856000042"
"TURNHOUTSEBAAN";"335";"2140";"05";" ";"2009-09-11T00:00:00";"0671";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4417021000000432";"51.214151173000062"
"TURNHOUTSEBAAN";"322";"2140";"05";" ";"2009-09-11T00:00:00";"0756";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4418033220000552";"51.214033334000078"
"TURNHOUTSEBAAN";"361";"2140";"05";" ";"2009-09-11T00:00:00";"1119";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4429522680000559";"51.214555391000033"
"TURNHOUTSEBAAN";"360";"2140";"05";" ";"2009-09-11T00:00:00";"0750";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.443200890000071";"51.214469904000055"
"TURNHOUTSEBAAN";"389";"2140";"05";" ";"2010-05-26T00:00:00";"1670";"vervangen";"nvt";"neen";"fase III";"01";"midden";"stadsreiniging";"4.4437267910000742";"51.21482166100003"
"TURNHOUTSEBAAN";"415";"2140";"05";"vroeger 2045";"2010-09-01T00:00:00";"9580";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4455848070000457";"51.21541417800006"
"TURNHOUTSEBAAN";"415";"2140";"05";"vroeger  2034";"2010-09-01T00:00:00";"9518";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.445571262000044";"51.215325256000028"
"STENENBRUG";"13";"2140";"05";"vroeger 2013";"2010-08-31T00:00:00";"9569";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4444924070000411";"51.214404174000038"
"TURNHOUTSEBAAN";"147";"2140";"05";" ";"2009-09-11T00:00:00";"0672";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4350302740000416";"51.214871659000039"
"MOORKENSPLEIN";"17";"2140";"05";" ";"2009-08-07T00:00:00";"0333";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4340994600000272";"51.213371066000036"
"FONTEINSTRAAT";"31";"2140";"05";" ";"2009-08-07T00:00:00";"0320";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.443064110000023";"51.212205924000045"
"FONTEINSTRAAT";"31";"2140";"05";"0393";"2009-08-07T00:00:00";"0393";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4429274490000239";"51.211704852000082"
"MERTENSSTRAAT";"43";"2140";"05";" ";"2009-08-07T00:00:00";"0304";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4411113370000521";"51.216392428000063"
"VINCOTTESTRAAT";"9";"2140";"05";" ";"2009-09-11T00:00:00";"0746";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4376641890000315";"51.216311732000065"
"VINCOTTESTRAAT";"1";"2140";"C";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4374117560000741";"51.215843980000045"
"KERKSTRAAT";"4";"2060";"05";"vroeger 1792";"2012-04-17T00:00:00";"9099";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4289061440000523";"51.217792963000079"
"KERKSTRAAT";"66";"2060";"05";" ";"2009-08-25T00:00:00";"0419";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4308668360000638";"51.218614503000026"
"KERKSTRAAT";"80";"2060";"05";" ";"2009-08-25T00:00:00";"0385";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4314691650000668";"51.218727414000057"
"KERKSTRAAT";"91";"2060";"05";"vroeger 1858";"2012-04-17T00:00:00";"9217";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4323915320000538";"51.219006801000035"
"VAN MONTFORTSTRAAT";"69";"2060";"05";" ";"2009-12-04T00:00:00";"1385";"vervangen";"nvt";"neen";"fase II";"C";"midden";"stadsreiniging";"4.4379997520000529";"51.219997078000063"
"JAN BORLUUTPLEIN";"18";"2140";"05";" ";"2009-08-07T00:00:00";"0360";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4411532830000624";"51.219787909000047"
"ITALIELEI";"19a";"2000";"05";" ";"2010-05-19T00:00:00";"1619";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4140095640000254";"51.229020395000077"
"SINT-JANSPLEIN";"";"2060";"05";" ";"2009-12-04T00:00:00";"1395";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4182378000000426";"51.225530860000049"
"SINT-JANSPLEIN";"to 56";"2060";"05";"vroeger 1846";"2012-04-18T00:00:00";"9202";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4170006340000327";"51.225354331000062"
"JAN BORLUUTPLEIN";"8";"2140";"05";" ";"2009-08-07T00:00:00";"0326";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4415380540000342";"51.219992784000056"
"HOF TER LO";" ";"2140";"04";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4480487060000655";"51.220629966000047"
"POTHOEKSTRAAT";"52";"2060";"05";" ";"2011-01-14T00:00:00";"1872";"vervangen";"DC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4369854780000537";"51.221996896000064"
"VAN HELMONTSTRAAT";"1";"2060";"05";" ";"2009-08-25T00:00:00";"0328";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4346447680000551";"51.224440917000038"
"VAN HELMONTSTRAAT";"9";"2060";"05";"vroeger 0421";"2009-08-25T00:00:00";"1239";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.434913649000066";"51.224489903000062"
"FRANS DE CORTSTRAAT";"31";"2060";"05";" ";"2009-12-04T00:00:00";"1234";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4330590210000764";"51.224320023000075"
"FRANS DE CORTSTRAAT";"3";"2060";"05";" ";"2009-12-04T00:00:00";"1231";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4323929100000328";"51.224880161000044"
"SCHOOLSTRAAT";"17";"2060";"05";" ";"2009-12-04T00:00:00";"1099";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4317873520000717";"51.22495527500007"
"FRANS DE CORTSTRAAT";"";"2060";"05";" ";"2009-12-04T00:00:00";"1151";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4326545090000309";"51.224604406000026"
"DAGERAADPLAATS";"22";"2018";"05";" ";"2009-11-02T00:00:00";"1012";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4299982050000608";"51.207267946000059"
"DAGERAADPLAATS";"27";"2018";"05";" ";"2009-11-02T00:00:00";"0938";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.429732002000037";"51.207045748000041"
"NOORDSCHIPPERSDOK";"plein";"2060";"05";" ";"2009-08-25T00:00:00";"0580";"vervangen";"nvt";"neen";"fase I";"04";"midden";"stadsreiniging";"4.4308879490000663";"51.233139368000082"
"NOORDSCHIPPERSDOK";"plein";"2060";"05";" ";"2009-08-25T00:00:00";"0530";"vervangen";"nvt";"neen";"fase I";"C";"midden";"stadsreiniging";"4.4308057510000367";"51.233315467000068"
"NOORDSCHIPPERSDOK";"plein";"2060";"05";" ";"2009-08-25T00:00:00";"0445";"vervangen";"nvt";"neen";"fase I";"04";"midden";"stadsreiniging";"4.4305964570000356";"51.233638575000043"
"NOORDSCHIPPERSDOK";"plein";"2060";"05";" ";"2009-08-25T00:00:00";"0330";"vervangen";"nvt";"neen";"fase I";"04";"midden";"stadsreiniging";"4.4296687620000625";"51.234360373000072"
"NOORDSCHIPPERSDOK";"plein";"2060";"05";" ";"2009-08-25T00:00:00";"0420";"nieuw bijplaatsen";"nvt";"neen";"fase I";"";"midden";"stadsreiniging";"4.4287210720000303";"51.234748886000034"
"IJZERLAAN";" ";"2060";"04";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4284986780000395";"51.235482082000033"
"IJZERLAAN";" ";"2060";"04";"hond";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4290277780000338";"51.235786279000081"
"DAMPLEIN";"27";"2060";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.425753736000047";"51.231684843000039"
"DAMPLEIN";"20-23";"2060";"C";"240l";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4250044300000582";"51.232378213000061"
"PARK SPOOR NOORD";" ";"2060";"03";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4207460090000268";"51.231454622000058"
"PARK SPOOR NOORD";" ";"2060";"03";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4203459160000307";"51.231376127000033"
"PARK SPOOR NOORD";"skatepark";"2030";"05";" ";"2009-10-23T00:00:00";"0887";"vervangen";"nvt";"neen";"fase II";"01";"midden";"stadsreiniging";"4.4190408080000338";"51.231389628000045"
"PARK SPOOR NOORD";" ";"2030";"05";" ";"2010-08-28T00:00:00";"2012";"vervangen";"nvt";"neen";"fase III";"03";"midden";"stadsreiniging";"4.4189563100000555";"51.231401233000042"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4123045540000589";"51.211915543000032"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4150101430000745";"51.211363432000041"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4153112410000404";"51.211412127000074"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4154030420000367";"51.211537928000041"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4147657460000573";"51.211993736000068"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4150082610000254";"51.212605931000041"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4152907680000339";"51.212701930000037"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4158473680000725";"51.212890928000036"
"STADSPARK";" ";"2018";"04";" ";"";"";"geen opdracht";"nvt";"neen";"";"";"midden";"groenonderhoud";"4.4148650710000652";"51.213143838000065"
"ROLWAGENSTRAAT";"86";"2018";"05";"vroeger 1912";"2012-04-13T00:00:00";"9346";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4265485650000755";"51.208230279000077"
"PLANTIN EN MORETUSLEI";"165";"2140";"05";" ";"2012-04-13T00:00:00";"9467";"geen opdracht";"CC";"ja";"";"";"midden";"stadsreiniging";"4.4318359530000748";"51.209341546000076"
"PLANTIN EN MORETUSLEI";"75";"2018";"05";"vroeger 1524";"2012-04-13T00:00:00";"9514";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4249054300000239";"51.210706191000043"
"PLANTIN EN MORETUSLEI";"78";"2018";"05";"vroeger 1693";"2012-04-13T00:00:00";"9509";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4243124950000379";"51.210594410000056"
"STATIESTRAAT";"24";"2600";"C";" ";"";"";"vervangen";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4240015280000762";"51.197482824000076"
"STATIESTRAAT";"2";"2600";"C";" ";"";"";"vervangen";"nvt";"neen";"";"";"midden";"stadsreiniging";"4.4231777610000336";"51.19718924700004"
"WASSTRAAT";"9";"2600";"05";" ";"2012-06-27T00:00:00";"1454";"geen opdracht";"nvt";"";"";"";"midden";"stadsreiniging";"4.4195880670000633";"51.197845704000031"
"BELGIELEI";"199";"2018";"05";"vroeger 1788";"2012-04-12T00:00:00";"9397";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4132617320000236";"51.202196255000047"
"BELGIELEI";"99";"2018";"05";"vroeger 1830";"2012-04-12T00:00:00";"9385";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4182590660000756";"51.205879581000033"
"LANGE LEEMSTRAAT";"227";"2018";"05";" ";"2010-06-09T00:00:00";"1673";"vervangen";"nvt";"neen";"fase III";"C";"midden";"stadsreiniging";"4.4186760200000208";"51.20546050300004"
"BELGIELEI";"55";"2018";"05";"v roeger 1957";"2010-07-15T00:00:00";"9179";"geen opdracht";"CC";"ja";"fase III";"C";"midden";"stadsreiniging";"4.4204980950000277";"51.207456673000081"
